ID,References,Extracts,Facts,Factors,Groups,Sub Groups,Notes/Additional,Glossary Check
40,Page 21/22,"5.2.2 Strategic Goal 2 : To provide the healthcare people need
Health services need to be available when needed, are effective and co-
ordinated to meet each individual’s needs. ICT plays a major role in
providing the tools that are needed to underpin new models of care and
make clinical reform sustainable. Supporting information flow along the
patient journey plays a large part in improving the experience of people as
they move along the journey, and making sure that the care they receive is
appropriate","NSW Health wants to make sure everyone gets the care they need, when they need it. They're using tech to support new ways of caring for people and making sure changes stick. Better info during your care journey means a better experience and getting the right care.","Service accessibility
Service delivery
Coordination & support
Sustainability initiatives
Information flow
Consumer experience","Consumer Experience and Support
Operational Effectiveness and Efficiency
Collaboration and Communication
Policy and Organizational Reform
Data and Information Management
Consumer Experience and Support","Customer service
Process optimization
Teamwork enhancement
Governance with Integrity
Data governance
Customer service",,"In Glossary
In Glossary
In Glossary
In Glossary
In Glossary
In Glossary"
41,Page 23/24,"5.2.3 Strategic Goal 3: To deliver high quality health services
There are currently three levels of government and multiple agencies
involved in funding and delivering health services, resulting in complexity
and duplication. Improved collaboration within and beyond the health
system is vital to improve the links and improve co-ordination and the
quality of services provided across the health system. ICT provides the
infrastructure and tools needed to improve this level of collaboration.
Quality and safety will also be enhanced through decision support tools for
clinicians through the Electronic Medical Record, and by more appropriate
use of resources through rostering and other HR tools.",NSW Health aims to improve healthcare by working better together. They're using tech to help everyone collaborate and use resources wisely. That means better tools for healthcare workers and making sure everyone gets great care.,"Process efficiency
Collaboration & teamwork
Coordination & support
Quality & safety
Resource allocation","Operational Effectiveness and Efficiency
Collaboration and Communication
Collaboration and Communication
Operational Effectiveness and Efficiency
Business Alignment","Process optimization
Teamwork enhancement
Teamwork enhancement
Process optimization
Strategic Cohesion",,"In Glossary
In Glossary
In Glossary
In Glossary
In Glossary"
42,Page 24,"5.3 NSW and National ICT Government Drivers
The NSW Government IT environment feeds into, and, to some extent,
constrains the NSW Health ICT strategic plan. This program aims to
ensure that NSW strategic initiatives align with, and where possible have
the opportunity to inform, national and broader state initiatives",The NSW Government's IT setup influences NSW Health's ICT plan. They aim to make sure NSW initiatives match up with and sometimes even help shape national and statewide plans,"Scope management
Strategic alignment","Program and Project Management
Business Alignment","Strategic Project Leadership
Strategic Cohesion",,"In Glossary
In Glossary"
43,Page 25,"5.3.1 NSW GCIO ICT Strategic Plan
The NSW Government has set new directions for IT through the NSW
Government CIO Executive Council. Primary goals include:
• Using IT to reduce back-end service costs while maintaining frontline
services
• Increasing investment in frontline service technologies
• Delivering savings through IT strategies in both capital costs and
recurrent costs
• Reducing the total cost of IT
The Government has proposed a number of new measures to achieve its
primary goals including:
• A single capital fund for IT
• A statewide IT plan
A focus on fewer software applications, shared infrastructure, common
processes and aggregated purchasing","The NSW Government is changing how they use computers and stuff. They want to save money on the boring tech stuff while keeping important services running smoothly. They're spending more on technology for important services and finding ways to save money with computers. This means using one fund for all tech needs, having a plan for the whole state, using fewer computer programs, sharing tech, and buying things together.","Technology advancement
Strategic alignment","System and Technology Improvement
Business Alignment","Innovative Evolution
Strategic Cohesion",,"In Glossary
In Glossary"
44,Page 25,"5.3.2 Council of Australian Governments
The Council of Australian Governments (COAG) has identified significant
areas of national interest including mental health, health workforce, action
plans for influenza pandemics and progress towards electronic health
records. ICT is an enabler for many of the COAG priorities. COAG has an
ambitious health and ageing reform agenda proposed for implementation
from 2009. This includes a program of hospital reform, improvements to
Indigenous health, chronic disease management and preventative health
care. The ICT program outlined in this strategy directly supports the COAG
reform agenda, through its focus on the implementation of systems that
will enable clinical reform in both acute and community settings.","COAG is a group working on important national stuff like mental health, healthcare workers, flu plans, and electronic health records. They're making big plans for healthcare, like making hospitals better and helping people stay healthy. This ICT plan is part of making those plans work by improving healthcare in hospitals and communities",Data sharing & integration,Data and Information Management,Data governance,,In Glossary
45,Page 25,"What are the possible solutions that can be implemented to mitigate reaised concerns while maintaing the organizations values ?
What are the possible solutions that can be implemented to mitigate raised concerns while maintaining the organizations values ?","The eHealth initiative involves all states, territories, and the Australian Government. It began in 2000 to set up e-health across Australia. The Australian Government has invested $128 million in e-health projects across the country, plus an extra $10 million in 2005 for managed health network grants. The aim is to make sure everyone works together, with consistent approaches to eHealth, creating a national health information network. The program also helps make the right rules for eHealth initiatives.","Government priorities & guidelines
Business reform & strategy
Inclusion & equity
Preventative solutions","Business Alignment
Business Alignment
Data and Information Management
Financial Management and Budgeting","Strategic Cohesion
Strategic Cohesion
Data governance
Budget control",,"In Glossary
In Glossary
In Glossary
In Glossary"
46,Page 26,"5.3.4 NEHTA
NEHTA’s primary goal is the development of national health information
management and communications technology standards and specifications.
NEHTA is progressing a number of work programs that will have a direct
impact on NSW Health’s ICT strategic plan.
These include:
eHealth interoperability: developing a Framework for Interoperability to
enable efficient and secure electronic exchange of information between
health organisations.
Clinical communications: NEHTA is undertaking a program of
standardisation of key clinical information. It is intended that the format
of, and data contained in, clinical communications such as patient referrals
and hospital discharge summaries will be standardised across all health IT
systems, according to the specifications set by NEHTA. These specifications
will be built upon existing standards, extending these as necessary. This
work includes the establishment of a common, coded clinical language
(clinical terminology).
Unique Healthcare Identifiers – This program is developing a single
National identifier for individuals accessing healthcare services, providers
within the public and private healthcare systems and health organisations.
At least initially, the individual identifier is not expected to be used as the
primary identifier by most jurisdictions.
Individual Electronic Health Record: NEHTA are preparing the data
and interoperability standards and business case for the development and
implementation of a national electronic health record.
Identity management: Standards to ensure the accurate identification
and secure access of individuals to clinical information.
Secure messaging: NEHTA is working to define national standards and
shared infrastructure to ensure that the electronic exchange of clinical
information between healthcare providers is reliable and secure.
Supply chain: NEHTA has established a National Product Catalogue (NPC)
to provide a central source of data for the purchase of healthcare products
within health departments in each State and Territory.","focuses on developing national health information management and communication technology standards. Its work includes creating frameworks for interoperability, standardizing clinical communications, establishing unique healthcare identifiers, and preparing standards for individual electronic health records, identity management, secure messaging, and supply chain management.","Collaboration & teamwork
Standardization
Data sharing & integration
Compliance & regulations","Collaboration and Communication
Operational Effectiveness and Efficiency
Data and Information Management
Compliance and Governance","Teamwork enhancement
Process optimization
Data governance
Regulatory adherence",,"In Glossary
In Glossary
In Glossary
In Glossary"
47,Page 27,"6..1 Approach to delivery of ICT in NSW
To meet and prepare for the challenges it faces NSW Health is
implementing changes to the way it delivers services. NSW Health has
embarked on a major combined clinical and corporate and ICT reform
program to address these issues. Implementation of IT solutions to
support staff and embed business processes is critical to ensuring change
to delivery of services is sustainable","To tackle challenges and prepare for the future, NSW Health is changing how it delivers services. Implementing IT solutions to support staff and integrate business processes is key for sustainable service delivery changes.","Compliance & regulations
Strategic alignment
System interoperability
Standardization
Data integrity & privacy
Secure data practices","Compliance and Governance
Business Alignment
Compliance and Governance
Operational Effectiveness and Efficiency
Data Security, Quality and Privacy
Data Security, Quality and Privacy","Regulatory adherence
Strategic Cohesion
Regulatory adherence
Process optimization
Data integrity
Data integrity",,"In Glossary
In Glossary
In Glossary
In Glossary
In Glossary
In Glossary"
48,Page 27,"Strategic Information Management (SIM)
SIM is responsible for the development of ICT strategy, working with
stakeholders to determine investment priorities, budget negotiation and
ensuring overall program delivery. SIM’s role includes:
• Development and maintenance of the NSW ICT Strategic Plan and
investment program
• Interface with Area Health Services and other key stakeholder
groups
• Business case development and review of Area IM&T proposals
• overseeing the delivery of the IM&T strategy,
• Ensuring compliance with government, Departmental and Branch
standards, architecture and policies
• Identify, assess and address the enterprise architecture needs of
NSW Health by developing and maintaining appropriate policies,
standards and procedures for information management.
• Managing, planning and developing integration strategies,
architecture, standards and policies to enable effective and
consistent integration of a wide range of systems throughout NSW
Health.","NEHTA makes sure health info works the same way everywhere in Australia. They're working on stuff like making sure doctors' notes and patient info look the same everywhere. They're also setting up a single ID for healthcare and getting ready for a national health record system. Plus, they're making sure the stuff doctors send each other is safe, and helping with buying healthcare stuff","Strategic alignment
Investment planning
Funding & cost control
Project prioritization","Business Alignment
Financial Management and Budgeting
Financial Management and Budgeting
Program and Project Management","Strategic Cohesion
Budget control
Budget control
Strategic Project Leadership",,"In Glossary
In Glossary
In Glossary
In Glossary"
49,Page 27,"Health Support Services
Health Support Services is responsible for the implementation and ongoing
support and maintenance of core clinical and corporate systems. Health
Support Services are responsible for providing specific clinical and
corporate IT services to the Area Health Services as defined under s126G
of the Health Services Act 1997. This includes the provision of hardware
and hardware asset management, software, application support systems
and system implementation management.","Health Support Services sets up and maintains key computer systems for healthcare. They give specific IT help to Area Health Services as defined by the law. This includes managing computers, software, and helping with setting up systems.","User support
System deployment
System maintenance","Consumer Experience and Support
System Deployment and Integration
System Maintenance and Support","Customer service
Reliable Implementation
Responsive Support",,"In Glossary
In Glossary
In Glossary"
50,Page 28,"Area Health Services
Area Health Services are responsible for the management of local
implementations, change management and training of staff and benefits
realisation.","Area Health Services are responsible for the management of local
implementations, change management and training of staff and benefits
realisation.","Service delivery
System deployment
Skills development
Benefit realization","Operational Effectiveness and Efficiency
System Deployment and Integration
Employee Training and Development
Business Alignment","Process optimization
Reliable Implementation
Employee development
Strategic Cohesion",,"In Glossary
In Glossary
In Glossary
In Glossary"
51,Page 31,"6.2 Approach to delivery
A portfolio management approach is used as the basis for prioritising,
selecting and monitoring programs and projects and making sound
investment decisions that provide the greatest benefit to the health system.
It is underpinned by common processes across ICT at a Departmental and
Area level. The ICT portfolio is managed within a collaborative framework
that defines:
• Processes to determine, develop and manage core, common and
divergent applications
• Application of integrated governance models at Area Health Services
and the Department
• State based build approach to core applications to support a faster,
more cost effective implementation and to underpin predictable
processes across the whole of NSW.",They pick the most important projects and invest wisely for the health system. We work together on ICT stuff and have clear rules. This helps us decide what to build and how to run things,"Project prioritization
Investment planning
Benefit realization
Standardization
Collaboration & teamwork","Program and Project Management
Financial Management and Budgeting
Business Alignment
Operational Effectiveness and Efficiency
Collaboration and Communication","Strategic Project Leadership
Budget control
Strategic Cohesion
Process optimization
Teamwork enhancement",,"In Glossary
In Glossary
In Glossary
In Glossary
In Glossary"
52,Page 31,"What are the possible solutions that can be implemented to mitigate reaised concerns while maintaing the organizations values ?
What are the possible solutions that can be implemented to mitigate raised concerns while maintaining the organizations values ?","NSW Health uses a coordinated approach to manage ICT projects. This helps us evaluate, prioritize, select, and monitor programs and projects. We adjust as needed to meet our business goals.","Project prioritization
Performance monitoring
Strategic alignment","Program and Project Management
System Maintenance and Support
Business Alignment","Strategic Project Leadership
Responsive Support
Strategic Cohesion",,"In Glossary
In Glossary
In Glossary"
53,Page 32,"6.4 Standard processes adopted across the ICT portfolio
Core processes and standard guidelines for operation underpin the delivery
of the ICT Strategic Plan. The processes relate to the stages of the project
lifecycle, while the guidelines identified in the diagram below apply to the
portfolio as a whole and to individual projects within the portfolio. Details
for each of these processes, guidelines and templates can be found on the
SIM website at http://internal.health.nsw.gov.au/sim",They have set ways of doing things that support our ICT plan. These cover every step of a project's life.,"Standardization
Policy & governance reform","Operational Effectiveness and Efficiency
Policy and Organizational Reform","Process optimization
Governance with Integrity",,"In Glossary
In Glossary"
54,Page 33,"6.5 A framework for Partnership
For NSW Health to effectively implement this strategy it must be done as a
collaboration between the Department of Health, Area Health Services,
Health Technology and third party providers.
There are three key components of the collaboration framework. These
are:
• Processes to determine, develop and manage core, common and
divergent applications;
• Application of integrated governance models at AHSs and the
Department;
• State based build approach to core applications to support a faster,
more cost effective implementation and to underpin predictable
processes across the whole of NSW","To make the strategy work, NSW Health collaborates with the Department of Health, Area Health Services, Health Technology, and third-party providers, using shared decision-making processes and building core applications at the state level","Collaboration & teamwork
Policy & governance reform
Standardization","Collaboration and Communication
Policy and Organizational Reform
Operational Effectiveness and Efficiency","Teamwork enhancement
Governance with Integrity
Process optimization",,"In Glossary
In Glossary
In Glossary"
55,Page 33,"6.5.1 Core, Common and Divergent
All applications and associated projects are classified as core, common or
divergent. This classification will influence how each project will be
prioritised, governed, funded, procured, implemented and managed.
Core: Applications and projects that are expected to provide all
state wide core functions. These will be directed,
controlled and funded by the Department.
Common: These applications provide common solutions across a
collaborative group. They will be controlled collaboratively
to achieve the desired outcomes for the group.
Divergent: Applications aimed at innovative solutions to localised
groups to enable design flexibility to explore new solutions
to specific requirements","Applications and projects are categorized as core, common, or divergent, influencing their prioritization, funding, and management, with core ones managed by the Department, common ones collaboratively, and divergent ones allowing for innovative solutions to local needs.","Data management
Resource allocation
Performance monitoring","Data and Information Management
Business Alignment
System Maintenance and Support","Data governance
Strategic Cohesion
Responsive Support",,"In Glossary
In Glossary
In Glossary"
56,Page 34/35,"The purpose of the Project Governance framework is to ensure that
projects remain relevant and deliver the stated business benefits. Effective
governance should ensure both that the NSW Health focuses on “doing the
right projects”, and that the right people focus on “doing the projects
right”. The governance structure is intended to reduce the risk to the
portfolio that would occur if there were to be a complete disconnect
between strategy and delivery.","The Project Governance framework makes sure projects do what they're supposed to and deliver the benefits they promised. It helps NSW Health focus on the right projects and ensures they're done correctly. This way, strategy and delivery stay connected, reducing risks for the whole portfolio","Strategic alignment
Risk identification & mitigation
Strategic alignment","Business Alignment
Risk Identification and Management
Business Alignment","Strategic Cohesion
Accountable Risk Management
Strategic Cohesion",,"In Glossary
In Glossary
In Glossary"
57,Page 36,"1. Content Development
This phase is characterised by an intense design and build of a prototype,
followed by a series of clinical review sessions. A methodology for the
design and build of SBB content has previously been developed and
utilised. The Fast Track methodology leverages this approach and adds in
the more efficient prototype model. The prototype assists clinicians in
gaining a better understanding of the application and offers the opportunity
to view the process as part of an integrated workflow. This approach
facilitates informed decision-making.","In the Content Development phase, they design and build a prototype, then review it with clinicians. We use a method called Fast Track, which makes the process quicker. The prototype helps clinicians understand the application better and decide if it works for them","Project prioritization
Integration capabilities
Knowledge & content management","Program and Project Management
System Deployment and Integration
Data and Information Management","Strategic Project Leadership
Reliable Implementation
Data governance",,"In Glossary
In Glossary
In Glossary"
58,Page 36/37,"2. Implementation
The implementation phase is designed around the State defined content.
Although this introduces a large amount of content in a single project, it
achieves greater benefit and is more cost effective. The Fast Track Metho
reduces the time, cost and complexity of implementation by using a
standard design with State Build content. Resource constraints and the
extended learning curve to get AHS staff up to speed that were an inherent
part of the old methodology, are minimised by the new approach. The
implementation team assigned to the project have the application
knowledge to build the database. A rapid implementation also eliminates
the inevitable scope creep that occurs during any long IT project.","In the Implementation phase, they're putting in the content decided by the state. Doing it all at once might seem like a lot, but it's the most efficient and cost-effective way. Using the Fast Track Method makes things quicker and cheaper, sticking to a standard design with state content. This means less hassle and less time spent learning for Area Health Services staff. Their team knows how to build the database, and doing things fast helps them stick to the plan without adding extra stuff.","Knowledge & content management
Resource allocation
Skills development
Scope management","Data and Information Management
Business Alignment
Employee Training and Development
Program and Project Management","Data governance
Strategic Cohesion
Employee development
Strategic Project Leadership",,"In Glossary
In Glossary
In Glossary
In Glossary"
59,Page 37/38,"3. SBB Maturity Model
The SBB uses a maturity model to progressively enhance the functionality
of the application as the experience and expectations of users increase.
The maturity model is based on the following principles:
• All Area Health Services contribute to the development of each version
of the SBB.
• Version 1.0 of any application is implemented as the SBB.
Enhancements can be proposed by any Area Health Service, but must
be endorsed by the majority of members of the Application Advisory
Group (AAG).
• Every Area Health Service has equal weight in the AAG.
• Every proposed change must go through a formal change control
process and be reviewed by the AAG, even those that are specific to
one Area (eg establishing the facility codes for hospitals in that Area).
• The primary function of the AAG is to consider and endorse changes
for each version of the SBB. New versions will be released on an
annual basis.
SBB functionality can be classified as:
• Required core: required content and functionality to support common
business and application functions, including standardised KPIs and
reporting and a consistent user interface for mobile staff. Required
content must be consistent across all implementations.
• Modifiable within guidelines to support area specific clinical processes,
assessments and third party applications
• Localised content where site specific information is required in the build
(eg code table for local facilities)","The SBB uses a maturity model to improve its features over time, with all Area Health Services contributing to each version, changes requiring approval from the majority of the Application Advisory Group, and new versions released annually, featuring required core functions, modifiable features, and local content.","Inclusion & equity
Scope management","Data and Information Management
Program and Project Management","Data governance
Strategic Project Leadership",,"In Glossary
In Glossary"
60,Page 39,"Information & Communication Technology (ICT) Strategy Priority ICT strategies
39
7 Priority ICT strategies
The ICT Strategy has been realigned with the core reform strategies of
Clinical Services Redesign and Corporate Shared Services. Five major ICT
strategies have been defined to support the broader strategic priorities.
These are the Clinical Systems Strategy, the Corporate Systems Strategy,
Business Information Strategy, Sustainable Infrastructure strategy and
Whole of Government ICT Strategic directions.
This section outlines:
• the initiatives that are being delivered in this stage of the ICT
Strategic Plan (2006-2011)
• initiatives scheduled for the second phase of the 10 year plan,
between 2012 and 2016.
7.1 Clinical Systems Strategy
7.1.1 Objective
The Clinical Systems Strategy will implement the core clinical systems
needed to underpin the Clinical Services Redesign Program, Quality and
Safety initiatives and clinical program areas.
The focus will be on systems to improve communication, minimise delays,
reduce handover problems and support the patient journey. Systems will
support the flexible allocation of resources to ensure services meet patient
needs.","The Clinical Systems Strategy aims to implement essential clinical systems supporting Clinical Services Redesign, Quality and Safety initiatives, and clinical programs. It focuses on improving communication, reducing delays, and supporting patient care, ensuring resources are allocated flexibly to meet patient needs","Strategic alignment
Project prioritization
Resource allocation","Business Alignment
Program and Project Management
Business Alignment","Strategic Cohesion
Strategic Project Leadership
Strategic Cohesion",,"In Glossary
In Glossary
In Glossary"
61,Page 39,"7.1.2 Programs supporting this strategy
Three programs support the Clinical Systems Strategy. These are:
• Electronic Medical Record program to implement the core
departmental systems needed to manage patients effectively in an
acute environment.
• Primary, Community and Outpatient Care program to implement
the infrastructure and systems to support patient care in the
community, outpatient and primary care environment. It includes
referrals and interaction with other human services, and the pilot for
the Electronic Health Record program.
• Clinical Support program to implement core support systems such
as Patient Administration systems and diagnostic systems.","Three programs support the Clinical Systems Strategy: the Electronic Medical Record program for managing patients in hospitals, the Primary, Community, and Outpatient Care program for community care, and the Clinical Support program for essential support systems like Patient Administration and diagnostics.","Project prioritization
Integration capabilities
System compatibility","Program and Project Management
System Deployment and Integration
Standardization and Streamlining Processes","Strategic Project Leadership
Reliable Implementation
Consistent Excellence",,"In Glossary
In Glossary
In Glossary"
62,Page 42,"7.2 Corporate Systems Strategy
7.2.1 Objective
The Corporate Systems Strategy will implement the core systems needed
to underpin the Corporate Shared Services reform program. This program
aims to reduce the duplication and cost in administrative functions to
increase funds available for frontline care. This strategy is underpinned by
the Corporate Systems program.","The Corporate Systems Strategy sets up essential systems to support the Corporate Shared Services reform program, cutting duplication and costs in administrative tasks to redirect funds to frontline care, with the Corporate Systems program as its backbone.","Integration capabilities
Process efficiency
Data integrity & privacy
Secure data practices","System Deployment and Integration
Operational Effectiveness and Efficiency
Data Security, Quality and Privacy
Data Security, Quality and Privacy","Reliable Implementation
Process optimization
Data integrity
Data integrity",,"In Glossary
In Glossary
In Glossary
In Glossary"
63,Page 43,"7.3 Business Information Strategy
7.3.1 Objectives
The Business Information Strategy aims to make a core set of high quality
information available at all levels of the organisation in a timely manner
and to develop a performance culture around it. This has the potential to
transform operational data into management insight, and support decisions
that drive real results for the Department and its stakeholders. Business
information must integrate NSW health’s strategic objectives with front line
service delivery, drive management accountability and be driven by the
overall program and change management approach","The Business Information Strategy aims to provide timely, high-quality information throughout the organization, fostering a performance-driven culture. It helps turn data into insights, supports decision-making, aligns with strategic goals, ensures accountability, and follows the overall program and change management approach.","Performance monitoring
Data management
Performance monitoring
Integration capabilities
Unified platforms
Data sharing & integration
Data integrity & privacy","System Maintenance and Support
Data and Information Management
System Maintenance and Support
System Deployment and Integration
System Deployment and Integration
Data and Information Management
Data Security, Quality and Privacy","Responsive Support
Data governance
Responsive Support
Reliable Implementation
Reliable Implementation
Data governance
Data integrity",,"In Glossary
In Glossary
In Glossary
In Glossary
In Glossary
In Glossary
In Glossary"
64,Page 43,"7.3.2 Programs supporting this strategy
There are three major programs under the Business Information Strategy.
These are:
Create value for
decision makers at
the front line
The primary aim of this program is to provide
timely, relevant information in a user friendly way
to clinicians and decision makers in front line
services.
Governance and
performance
management
Aimed at integrating NSW Health’s strategic and
planning frameworks and developing overall
value and cost effectiveness performance
measures.
Enabling
infrastructure and
support
Making sure that the source systems are capable
of providing the major indicators, that the data
sets are standardised and implemented to
provide consistent information and the technical
infrastructure is in place","Three programs support the Business Information Strategy: one delivers useful information to front-line staff, another integrates strategic frameworks and develops performance measures, and the third ensures systems can provide consistent data and sets up technical infrastructure","Project prioritization
Strategic alignment
Performance monitoring","Program and Project Management
Business Alignment
System Maintenance and Support","Strategic Project Leadership
Strategic Cohesion
Responsive Support",,"In Glossary
In Glossary
In Glossary"
65,Page 44,"7.4 Sustainable infrastructure program
7.4.1 Objectives
This program aims to rationalise the technical infrastructure and develop
and maintain standards and architecture needed to support state wide ICT
initiatives and to ensure the maximum benefit is gained from the
investment in ICT.","The Sustainable Infrastructure program aims to streamline technical infrastructure, establish and uphold standards and architecture for statewide ICT initiatives, and ensure maximum benefit from ICT investments.","Infrastructure efficiency
Standardization
Resource allocation","Infrastructure and Hardware Management
Operational Effectiveness and Efficiency
Business Alignment","Sustainable Systems
Process optimization
Strategic Cohesion",,"In Glossary
In Glossary
In Glossary"
66,Page 44,"7.4.2 Programs supporting this strategy
The infrastructure strategy incorporates the following programs:
Infrastructure Defining and implementing the
telecommunications and technical infrastructure
to support the clinical and corporate strategies.
Architecture and
Standards
Providing the enterprise architecture enterprise
integration layer and core technical standards
required to manage NSW information assets.
Information
management
Ensuring that uniform data standards are
developed and applied across state based builds
and other systems as appropriate and that data
quality strategies are in place to ensure
maximum value from the information collected
across NSW.","The Sustainable Infrastructure program includes three parts: setting up infrastructure, establishing technical standards, and ensuring uniform data standards across systems in NSW.","Infrastructure efficiency
Standardization
Data integrity & privacy","Infrastructure and Hardware Management
Operational Effectiveness and Efficiency
Data Security, Quality and Privacy","Sustainable Systems
Process optimization
Data integrity",,"In Glossary
In Glossary
In Glossary"
